member_id,name,dob,join_date,plan_type,status
M0091,Name_91,1960-02-06,2016-08-15,Silver,Active
M0092,Name_92,1960-03-18,2016-08-22,Gold,Active
M0093,Name_93,1960-04-28,2016-08-28,Silver,Active
M0094,Name_94,1960-06-08,2016-09-04,Gold,Active
M0095,Name_95,1960-07-19,2016-09-11,Silver,Active
M0096,Name_96,1960-08-29,2016-09-17,Silver,Active
M0097,Name_97,1960-10-09,2016-09-24,Silver,Active
M0098,Name_98,1960-11-19,2016-09-30,Bronze,Active
M0099,Name_99,1960-12-30,2016-10-07,Silver,Active
M0100,Name_100,1961-02-09,2016-10-13,Bronze,Active
M0101,Name_101,1961-03-22,2016-10-20,Silver,Active
M0102,Name_102,1961-05-02,2016-10-27,Silver,Cancelled
M0103,Name_103,1961-06-12,2016-11-02,Gold,Active
M0104,Name_104,1961-07-23,2016-11-09,Silver,Active
M0105,Name_105,1961-09-02,2016-11-15,Silver,Active
M0106,Name_106,1961-10-13,2016-11-22,Gold,Active
M0107,Name_107,1961-11-23,2016-11-29,Silver,Active
M0108,Name_108,1962-01-03,2016-12-05,Silver,Active
M0109,Name_109,1962-02-13,2016-12-12,Silver,Active
M0110,Name_110,1962-03-26,2016-12-18,Silver,Active
M0111,Name_111,1962-05-06,2016-12-25,Silver,Active
M0112,Name_112,1962-06-16,2016-12-31,Gold,Active
M0113,Name_113,1962-07-27,2017-01-07,Silver,Active
M0114,Name_114,1962-09-06,2017-01-14,Gold,Active
M0115,Name_115,1962-10-17,2017-01-20,Silver,Cancelled
M0116,Name_116,1962-11-27,2017-01-27,Gold,Active
M0117,Name_117,1963-01-07,2017-02-02,Silver,Active
M0118,Name_118,1963-02-17,2017-02-09,Silver,Active
M0119,Name_119,1963-03-30,2017-02-16,Bronze,Active
M0120,Name_120,1963-05-10,2017-02-22,Gold,Active
M0121,Name_121,1963-06-20,2017-03-01,Silver,Active
M0122,Name_122,1963-07-31,2017-03-07,Silver,Cancelled
M0123,Name_123,1963-09-10,2017-03-14,Bronze,Active
M0124,Name_124,1963-10-21,2017-03-20,Silver,Cancelled
M0125,Name_125,1963-12-01,2017-03-27,Gold,Active
M0126,Name_126,1964-01-11,2017-04-03,Gold,Active
M0127,Name_127,1964-02-21,2017-04-09,Silver,Cancelled
M0128,Name_128,1964-04-02,2017-04-16,Bronze,Active
M0129,Name_129,1964-05-13,2017-04-22,Silver,Active
M0130,Name_130,1964-06-23,2017-04-29,Bronze,Cancelled
M0131,Name_131,1964-08-03,2017-05-06,Silver,Active
M0132,Name_132,1964-09-13,2017-05-12,Gold,Active
M0133,Name_133,1964-10-24,2017-05-19,Silver,Active
M0134,Name_134,1964-12-04,2017-05-25,Gold,Active
M0135,Name_135,1965-01-14,2017-06-01,Silver,Active
M0136,Name_136,1965-02-24,2017-06-07,Silver,Active
M0137,Name_137,1965-04-06,2017-06-14,Bronze,Cancelled
M0138,Name_138,1965-05-17,2017-06-21,Bronze,Active
M0139,Name_139,1965-06-27,2017-06-27,Silver,Active
M0140,Name_140,1965-08-07,2017-07-04,Silver,Cancelled
M0141,Name_141,1965-09-17,2017-07-10,Silver,Active
M0142,Name_142,1965-10-28,2017-07-17,Silver,Active
M0143,Name_143,1965-12-08,2017-07-24,Gold,Active
M0144,Name_144,1966-01-18,2017-07-30,Gold,Cancelled
M0145,Name_145,1966-02-28,2017-08-06,Silver,Active
M0146,Name_146,1966-04-10,2017-08-12,Bronze,Active
M0147,Name_147,1966-05-21,2017-08-19,Silver,Active
M0148,Name_148,1966-07-01,2017-08-26,Silver,Active
M0149,Name_149,1966-08-11,2017-09-01,Gold,Cancelled
M0150,Name_150,1966-09-21,2017-09-08,Gold,Active
M0151,Name_151,1966-11-01,2017-09-14,Silver,Active
M0152,Name_152,1966-12-12,2017-09-21,Bronze,Active
M0153,Name_153,1967-01-22,2017-09-27,Silver,Cancelled
M0154,Name_154,1967-03-04,2017-10-04,Gold,Cancelled
M0155,Name_155,1967-04-14,2017-10-11,Bronze,Active
M0156,Name_156,1967-05-25,2017-10-17,Bronze,Active
M0157,Name_157,1967-07-05,2017-10-24,Gold,Active
M0158,Name_158,1967-08-15,2017-10-30,Gold,Active
M0159,Name_159,1967-09-25,2017-11-06,Gold,Active
M0160,Name_160,1967-11-05,2017-11-13,Gold,Cancelled
M0161,Name_161,1967-12-16,2017-11-19,Gold,Active
M0162,Name_162,1968-01-26,2017-11-26,Silver,Cancelled
M0163,Name_163,1968-03-07,2017-12-02,Silver,Active
M0164,Name_164,1968-04-17,2017-12-09,Silver,Active
M0165,Name_165,1968-05-28,2017-12-15,Gold,Active
M0166,Name_166,1968-07-08,2017-12-22,Silver,Active
M0167,Name_167,1968-08-18,2017-12-29,Silver,Active
M0168,Name_168,1968-09-27,2018-01-04,Silver,Cancelled
M0169,Name_169,1968-11-07,2018-01-11,Bronze,Active
M0170,Name_170,1968-12-18,2018-01-17,Silver,Active
M0171,Name_171,1969-01-28,2018-01-24,Bronze,Active
M0172,Name_172,1969-03-10,2018-01-31,Gold,Active
M0173,Name_173,1969-04-20,2018-02-06,Silver,Active
M0174,Name_174,1969-05-31,2018-02-13,Silver,Active
M0175,Name_175,1969-07-11,2018-02-19,Gold,Active
M0176,Name_176,1969-08-21,2018-02-26,Silver,Active
M0177,Name_177,1969-10-01,2018-03-04,Gold,Active
M0178,Name_178,1969-11-11,2018-03-11,Gold,Active
M0179,Name_179,1969-12-22,2018-03-18,Silver,Active
M0180,Name_180,1970-02-01,2018-03-24,Silver,Active
M0181,Name_181,1970-03-14,2018-03-31,Silver,Active
M0182,Name_182,1970-04-24,2018-04-06,Silver,Active
M0183,Name_183,1970-06-04,2018-04-13,Silver,Active
M0184,Name_184,1970-07-15,2018-04-20,Gold,Active
M0185,Name_185,1970-08-25,2018-04-26,Silver,Active
M0186,Name_186,1970-10-05,2018-05-03,Gold,Active
M0187,Name_187,1970-11-15,2018-05-09,Silver,Active
M0188,Name_188,1970-12-26,2018-05-16,Silver,Active
M0189,Name_189,1971-02-05,2018-05-23,Silver,Active
M0190,Name_190,1971-03-18,2018-05-29,Bronze,Active
M0191,Name_191,1971-04-28,2018-06-05,Silver,Active
M0192,Name_192,1971-06-08,2018-06-11,Gold,Cancelled
M0193,Name_193,1971-07-19,2018-06-18,Silver,Active
M0194,Name_194,1971-08-29,2018-06-24,Gold,Active
M0195,Name_195,1971-10-09,2018-07-01,Silver,Active
M0196,Name_196,1971-11-19,2018-07-08,Silver,Active
M0197,Name_197,1971-12-30,2018-07-14,Silver,Cancelled
M0198,Name_198,1972-02-09,2018-07-21,Bronze,Cancelled
M0199,Name_199,1972-03-21,2018-07-27,Silver,Cancelled
M0200,Name_200,1972-05-01,2018-08-03,Silver,Active
M0201,Name_201,1972-06-11,2018-08-10,Silver,Active
M0202,Name_202,1972-07-22,2018-08-16,Gold,Active
M0203,Name_203,1972-09-01,2018-08-23,Silver,Active
M0204,Name_204,1972-10-12,2018-08-29,Bronze,Active
M0205,Name_205,1972-11-22,2018-09-05,Gold,Active
M0206,Name_206,1973-01-02,2018-09-11,Silver,Active
M0207,Name_207,1973-02-12,2018-09-18,Silver,Active
M0208,Name_208,1973-03-25,2018-09-25,Silver,Active
M0209,Name_209,1973-05-05,2018-10-01,Gold,Active
M0210,Name_210,1973-06-15,2018-10-08,Gold,Cancelled
M0211,Name_211,1973-07-26,2018-10-14,Silver,Active
M0212,Name_212,1973-09-05,2018-10-21,Silver,Cancelled
M0213,Name_213,1973-10-16,2018-10-28,Gold,Active
M0214,Name_214,1973-11-26,2018-11-03,Gold,Active
M0215,Name_215,1974-01-06,2018-11-10,Silver,Active
M0216,Name_216,1974-02-16,2018-11-16,Gold,Active
M0217,Name_217,1974-03-29,2018-11-23,Bronze,Active
M0218,Name_218,1974-05-09,2018-11-29,Bronze,Active
M0219,Name_219,1974-06-19,2018-12-06,Silver,Active
M0220,Name_220,1974-07-30,2018-12-13,Silver,Active
M0221,Name_221,1974-09-09,2018-12-19,Silver,Active
M0222,Name_222,1974-10-20,2018-12-26,Silver,Active
M0223,Name_223,1974-11-30,2019-01-01,Silver,Active
M0224,Name_224,1975-01-10,2019-01-08,Silver,Active
M0225,Name_225,1975-02-20,2019-01-15,Gold,Active
M0226,Name_226,1975-04-02,2019-01-21,Silver,Active
M0227,Name_227,1975-05-13,2019-01-28,Silver,Active
M0228,Name_228,1975-06-23,2019-02-03,Gold,Active
M0229,Name_229,1975-08-03,2019-02-10,Bronze,Active
M0230,Name_230,1975-09-13,2019-02-17,Silver,Active
M0231,Name_231,1975-10-24,2019-02-23,Silver,Active
M0232,Name_232,1975-12-04,2019-03-02,Silver,Active
M0233,Name_233,1976-01-14,2019-03-08,Silver,Active
M0234,Name_234,1976-02-24,2019-03-15,Silver,Cancelled
M0235,Name_235,1976-04-05,2019-03-21,Silver,Cancelled
M0236,Name_236,1976-05-16,2019-03-28,Silver,Active
M0237,Name_237,1976-06-26,2019-04-04,Silver,Active
M0238,Name_238,1976-08-06,2019-04-10,Silver,Active
M0239,Name_239,1976-09-16,2019-04-17,Gold,Active
M0240,Name_240,1976-10-27,2019-04-23,Gold,Active
M0241,Name_241,1976-12-07,2019-04-30,Gold,Active
M0242,Name_242,1977-01-17,2019-05-07,Gold,Active
M0243,Name_243,1977-02-27,2019-05-13,Silver,Active
M0244,Name_244,1977-04-09,2019-05-20,Silver,Active
M0245,Name_245,1977-05-20,2019-05-26,Gold,Active
M0246,Name_246,1977-06-30,2019-06-02,Gold,Active
M0247,Name_247,1977-08-10,2019-06-08,Gold,Active
M0248,Name_248,1977-09-20,2019-06-15,Silver,Active
M0249,Name_249,1977-10-31,2019-06-22,Gold,Active
M0250,Name_250,1977-12-11,2019-06-28,Silver,Active
M0251,Name_251,1978-01-20,2019-07-05,Silver,Cancelled
M0252,Name_252,1978-03-02,2019-07-11,Silver,Active
M0253,Name_253,1978-04-12,2019-07-18,Bronze,Active
M0254,Name_254,1978-05-23,2019-07-25,Gold,Active
M0255,Name_255,1978-07-03,2019-07-31,Bronze,Cancelled
M0256,Name_256,1978-08-13,2019-08-07,Silver,Active
M0257,Name_257,1978-09-23,2019-08-13,Silver,Active
M0258,Name_258,1978-11-03,2019-08-20,Gold,Active
M0259,Name_259,1978-12-14,2019-08-26,Silver,Active
M0260,Name_260,1979-01-24,2019-09-02,Bronze,Active
M0261,Name_261,1979-03-06,2019-09-09,Gold,Active
M0262,Name_262,1979-04-16,2019-09-15,Bronze,Active
M0263,Name_263,1979-05-27,2019-09-22,Bronze,Active
M0264,Name_264,1979-07-07,2019-09-28,Silver,Active
M0265,Name_265,1979-08-17,2019-10-05,Gold,Active
M0266,Name_266,1979-09-27,2019-10-12,Silver,Active
M0267,Name_267,1979-11-07,2019-10-18,Gold,Active
M0268,Name_268,1979-12-18,2019-10-25,Silver,Active
M0269,Name_269,1980-01-28,2019-10-31,Gold,Active
M0270,Name_270,1980-03-09,2019-11-07,Gold,Active
M0271,Name_271,1980-04-19,2019-11-13,Silver,Active
M0272,Name_272,1980-05-30,2019-11-20,Gold,Active
M0273,Name_273,1980-07-10,2019-11-27,Silver,Active
M0274,Name_274,1980-08-20,2019-12-03,Gold,Active
M0275,Name_275,1980-09-30,2019-12-10,Silver,Active
M0276,Name_276,1980-11-10,2019-12-16,Gold,Active
M0277,Name_277,1980-12-21,2019-12-23,Gold,Active
M0278,Name_278,1981-01-31,2019-12-30,Silver,Active
M0279,Name_279,1981-03-13,2020-01-05,Silver,Cancelled
M0280,Name_280,1981-04-23,2020-01-12,Silver,Active
M0281,Name_281,1981-06-03,2020-01-18,Silver,Active
M0282,Name_282,1981-07-14,2020-01-25,Gold,Active
M0283,Name_283,1981-08-24,2020-02-01,Bronze,Active
M0284,Name_284,1981-10-04,2020-02-07,Silver,Active
M0285,Name_285,1981-11-14,2020-02-14,Silver,Active
M0286,Name_286,1981-12-25,2020-02-20,Bronze,Active
M0287,Name_287,1982-02-04,2020-02-27,Gold,Active
M0288,Name_288,1982-03-17,2020-03-04,Silver,Active
M0289,Name_289,1982-04-27,2020-03-11,Gold,Active
M0290,Name_290,1982-06-07,2020-03-18,Bronze,Active
M0291,Name_291,1982-07-18,2020-03-24,Gold,Cancelled
M0292,Name_292,1982-08-28,2020-03-31,Bronze,Active
M0293,Name_293,1982-10-08,2020-04-06,Gold,Active
M0294,Name_294,1982-11-18,2020-04-13,Gold,Active
M0295,Name_295,1982-12-29,2020-04-20,Silver,Active
M0296,Name_296,1983-02-08,2020-04-26,Gold,Cancelled
M0297,Name_297,1983-03-21,2020-05-03,Gold,Cancelled
M0298,Name_298,1983-05-01,2020-05-09,Silver,Cancelled
M0299,Name_299,1983-06-11,2020-05-16,Silver,Active
M0300,Name_300,1983-07-22,2020-05-22,Silver,Cancelled
M0301,Name_301,1983-09-01,2020-05-29,Silver,Cancelled
M0302,Name_302,1983-10-12,2020-06-05,Gold,Active
M0303,Name_303,1983-11-22,2020-06-11,Bronze,Active
M0304,Name_304,1984-01-02,2020-06-18,Bronze,Active
M0305,Name_305,1984-02-12,2020-06-24,Gold,Active
M0306,Name_306,1984-03-24,2020-07-01,Silver,Active
M0307,Name_307,1984-05-04,2020-07-08,Silver,Active
M0308,Name_308,1984-06-14,2020-07-14,Gold,Active
M0309,Name_309,1984-07-25,2020-07-21,Silver,Active
M0310,Name_310,1984-09-04,2020-07-27,Gold,Active
M0311,Name_311,1984-10-15,2020-08-03,Silver,Active
M0312,Name_312,1984-11-25,2020-08-09,Silver,Cancelled
M0313,Name_313,1985-01-05,2020-08-16,Gold,Active
M0314,Name_314,1985-02-15,2020-08-23,Silver,Active
M0315,Name_315,1985-03-28,2020-08-29,Bronze,Cancelled
M0316,Name_316,1985-05-08,2020-09-05,Silver,Active
M0317,Name_317,1985-06-18,2020-09-11,Silver,Active
M0318,Name_318,1985-07-29,2020-09-18,Silver,Active
M0319,Name_319,1985-09-08,2020-09-25,Bronze,Active
M0320,Name_320,1985-10-19,2020-10-01,Silver,Active
M0321,Name_321,1985-11-29,2020-10-08,Gold,Active
M0322,Name_322,1986-01-09,2020-10-14,Gold,Active
M0323,Name_323,1986-02-19,2020-10-21,Gold,Cancelled
M0324,Name_324,1986-04-01,2020-10-28,Bronze,Active
M0325,Name_325,1986-05-12,2020-11-03,Silver,Active
M0326,Name_326,1986-06-22,2020-11-10,Gold,Active
M0327,Name_327,1986-08-02,2020-11-16,Gold,Active
M0328,Name_328,1986-09-12,2020-11-23,Silver,Active
M0329,Name_329,1986-10-23,2020-11-29,Silver,Cancelled
M0330,Name_330,1986-12-03,2020-12-06,Silver,Active
M0331,Name_331,1987-01-13,2020-12-13,Gold,Active
M0332,Name_332,1987-02-23,2020-12-19,Bronze,Active
M0333,Name_333,1987-04-05,2020-12-26,Bronze,Active
M0334,Name_334,1987-05-15,2021-01-01,Gold,Active
M0335,Name_335,1987-06-25,2021-01-08,Bronze,Active
M0336,Name_336,1987-08-05,2021-01-15,Silver,Active
M0337,Name_337,1987-09-15,2021-01-21,Gold,Cancelled
M0338,Name_338,1987-10-26,2021-01-28,Bronze,Active
M0339,Name_339,1987-12-06,2021-02-03,Bronze,Active
M0340,Name_340,1988-01-16,2021-02-10,Bronze,Active
M0341,Name_341,1988-02-26,2021-02-16,Silver,Active
M0342,Name_342,1988-04-07,2021-02-23,Bronze,Active
M0343,Name_343,1988-05-18,2021-03-02,Bronze,Active
M0344,Name_344,1988-06-28,2021-03-08,Silver,Active
M0345,Name_345,1988-08-08,2021-03-15,Silver,Active
M0346,Name_346,1988-09-18,2021-03-21,Silver,Active
M0347,Name_347,1988-10-29,2021-03-28,Silver,Active
M0348,Name_348,1988-12-09,2021-04-04,Gold,Active
M0349,Name_349,1989-01-19,2021-04-10,Silver,Active
M0350,Name_350,1989-03-01,2021-04-17,Silver,Active
M0351,Name_351,1989-04-11,2021-04-23,Silver,Cancelled
M0352,Name_352,1989-05-22,2021-04-30,Gold,Active
M0353,Name_353,1989-07-02,2021-05-06,Silver,Active
M0354,Name_354,1989-08-12,2021-05-13,Bronze,Cancelled
M0355,Name_355,1989-09-22,2021-05-20,Bronze,Active
M0356,Name_356,1989-11-02,2021-05-26,Silver,Active
M0357,Name_357,1989-12-13,2021-06-02,Bronze,Active
M0358,Name_358,1990-01-23,2021-06-08,Silver,Active
M0359,Name_359,1990-03-05,2021-06-15,Silver,Active
M0360,Name_360,1990-04-15,2021-06-22,Silver,Active
M0361,Name_361,1990-05-26,2021-06-28,Gold,Active
M0362,Name_362,1990-07-06,2021-07-05,Silver,Active
M0363,Name_363,1990-08-16,2021-07-11,Silver,Active
M0364,Name_364,1990-09-26,2021-07-18,Gold,Active
M0365,Name_365,1990-11-06,2021-07-25,Silver,Active
M0366,Name_366,1990-12-17,2021-07-31,Silver,Active
M0367,Name_367,1991-01-27,2021-08-07,Gold,Active
M0368,Name_368,1991-03-09,2021-08-13,Bronze,Cancelled
M0369,Name_369,1991-04-19,2021-08-20,Bronze,Active
M0370,Name_370,1991-05-30,2021-08-26,Silver,Active
M0371,Name_371,1991-07-10,2021-09-02,Bronze,Active
M0372,Name_372,1991-08-20,2021-09-09,Silver,Active
M0373,Name_373,1991-09-30,2021-09-15,Silver,Active
M0374,Name_374,1991-11-10,2021-09-22,Silver,Cancelled
M0375,Name_375,1991-12-21,2021-09-28,Gold,Active
M0376,Name_376,1992-01-31,2021-10-05,Gold,Active
M0377,Name_377,1992-03-12,2021-10-12,Silver,Cancelled
M0378,Name_378,1992-04-22,2021-10-18,Silver,Cancelled
M0379,Name_379,1992-06-02,2021-10-25,Silver,Active
M0380,Name_380,1992-07-13,2021-10-31,Silver,Active
M0381,Name_381,1992-08-23,2021-11-07,Silver,Active
M0382,Name_382,1992-10-03,2021-11-13,Silver,Active
M0383,Name_383,1992-11-13,2021-11-20,Silver,Active
M0384,Name_384,1992-12-24,2021-11-27,Silver,Active
M0385,Name_385,1993-02-03,2021-12-03,Silver,Active
M0386,Name_386,1993-03-16,2021-12-10,Silver,Cancelled
M0387,Name_387,1993-04-26,2021-12-16,Silver,Active
M0388,Name_388,1993-06-06,2021-12-23,Bronze,Active
M0389,Name_389,1993-07-17,2021-12-30,Silver,Active
M0390,Name_390,1993-08-27,2022-01-05,Silver,Cancelled
M0391,Name_391,1993-10-07,2022-01-12,Silver,Cancelled
M0392,Name_392,1993-11-17,2022-01-18,Gold,Cancelled
M0393,Name_393,1993-12-28,2022-01-25,Gold,Active
M0394,Name_394,1994-02-07,2022-01-31,Silver,Active
M0395,Name_395,1994-03-20,2022-02-07,Silver,Active
M0396,Name_396,1994-04-30,2022-02-14,Silver,Active
M0397,Name_397,1994-06-10,2022-02-20,Gold,Active
M0398,Name_398,1994-07-21,2022-02-27,Bronze,Active
M0399,Name_399,1994-08-31,2022-03-05,Silver,Active
M0400,Name_400,1994-10-11,2022-03-12,Gold,Active
M0401,Name_401,1994-11-21,2022-03-19,Gold,Active
M0402,Name_402,1995-01-01,2022-03-25,Gold,Active
M0403,Name_403,1995-02-11,2022-04-01,Gold,Active
M0404,Name_404,1995-03-24,2022-04-07,Gold,Active
M0405,Name_405,1995-05-04,2022-04-14,Bronze,Active
M0406,Name_406,1995-06-14,2022-04-20,Gold,Active
M0407,Name_407,1995-07-25,2022-04-27,Silver,Cancelled
M0408,Name_408,1995-09-04,2022-05-04,Silver,Active
M0409,Name_409,1995-10-15,2022-05-10,Gold,Active
M0410,Name_410,1995-11-25,2022-05-17,Silver,Active
M0411,Name_411,1996-01-05,2022-05-23,Silver,Active
M0412,Name_412,1996-02-15,2022-05-30,Silver,Active
M0413,Name_413,1996-03-27,2022-06-06,Gold,Active
M0414,Name_414,1996-05-07,2022-06-12,Silver,Cancelled
M0415,Name_415,1996-06-17,2022-06-19,Bronze,Active
M0416,Name_416,1996-07-28,2022-06-25,Silver,Active
M0417,Name_417,1996-09-06,2022-07-02,Gold,Active
M0418,Name_418,1996-10-17,2022-07-09,Gold,Cancelled
M0419,Name_419,1996-11-27,2022-07-15,Bronze,Active
M0420,Name_420,1997-01-07,2022-07-22,Silver,Active
M0421,Name_421,1997-02-17,2022-07-28,Gold,Active
M0422,Name_422,1997-03-30,2022-08-04,Bronze,Active
M0423,Name_423,1997-05-10,2022-08-10,Bronze,Cancelled
M0424,Name_424,1997-06-20,2022-08-17,Silver,Active
M0425,Name_425,1997-07-31,2022-08-24,Silver,Active
M0426,Name_426,1997-09-10,2022-08-30,Gold,Active
M0427,Name_427,1997-10-21,2022-09-06,Silver,Active
M0428,Name_428,1997-12-01,2022-09-12,Silver,Active
M0429,Name_429,1998-01-11,2022-09-19,Silver,Cancelled
M0430,Name_430,1998-02-21,2022-09-26,Gold,Active
M0431,Name_431,1998-04-03,2022-10-02,Silver,Active
M0432,Name_432,1998-05-14,2022-10-09,Silver,Active
M0433,Name_433,1998-06-24,2022-10-15,Silver,Active
M0434,Name_434,1998-08-04,2022-10-22,Silver,Active
M0435,Name_435,1998-09-14,2022-10-28,Gold,Active
M0436,Name_436,1998-10-25,2022-11-04,Bronze,Cancelled
M0437,Name_437,1998-12-05,2022-11-11,Silver,Active
M0438,Name_438,1999-01-15,2022-11-17,Silver,Active
M0439,Name_439,1999-02-25,2022-11-24,Silver,Active
M0440,Name_440,1999-04-07,2022-11-30,Silver,Active
M0441,Name_441,1999-05-18,2022-12-07,Silver,Active
M0442,Name_442,1999-06-28,2022-12-14,Gold,Active
M0443,Name_443,1999-08-08,2022-12-20,Gold,Active
M0444,Name_444,1999-09-18,2022-12-27,Silver,Active
M0445,Name_445,1999-10-29,2023-01-02,Gold,Active
M0446,Name_446,1999-12-09,2023-01-09,Silver,Active
M0447,Name_447,2000-01-19,2023-01-15,Gold,Active
M0448,Name_448,2000-02-29,2023-01-22,Silver,Active
M0449,Name_449,2000-04-10,2023-01-29,Gold,Active
M0450,Name_450,2000-05-21,2023-02-04,Silver,Active
M0451,Name_451,2000-07-01,2023-02-11,Silver,Active
M0452,Name_452,2000-08-11,2023-02-17,Bronze,Active
M0453,Name_453,2000-09-21,2023-02-24,Bronze,Active
M0454,Name_454,2000-11-01,2023-03-03,Bronze,Active
M0455,Name_455,2000-12-12,2023-03-09,Gold,Active
M0456,Name_456,2001-01-22,2023-03-16,Gold,Active
